"variable","term","edf","ref_df","F","p_value","r_squared"
"n_NVB_norm","datainterview",NA,NA,NA,0.0630915274947284,0.198943743033413
"n_NVB_norm","dataL2-interview",NA,NA,NA,0.349919928403599,0.198943743033413
"n_NVB_delta","s(minute)",1.00011273876549,1.00022546482095,0.533058017688407,0.468159252043727,0.136180050132738
"n_NVB_delta","s(transcriber)",0.000115575673973504,9,1.25835202082961e-05,0.464529215321978,0.136180050132738
"n_NVB_delta","(Intercept)",NA,NA,NA,0.265081114125332,0.136180050132738
"n_NVB_delta","expertnovice",NA,NA,NA,0.17256713616797,0.136180050132738
"n_NVB_delta","phasemanual",NA,NA,NA,0.468999368722947,0.136180050132738
"n_NVB_delta","datainterview",NA,NA,NA,0.532447678490966,0.136180050132738
"n_NVB_delta","dataL2-interview",NA,NA,NA,0.0122779308209568,0.136180050132738
"avg_tokens","s(minute)",1.00007436649982,1.00014872746926,0.642280956734531,0.426559536779322,0.766995303617659
"avg_tokens","s(transcriber)",8.49349628353755,9,18.069446574795,0,0.766995303617659
"avg_tokens","(Intercept)",NA,NA,NA,1.44759992937573e-10,0.766995303617659
"avg_tokens","expertnovice",NA,NA,NA,0.81321061727326,0.766995303617659
"avg_tokens","phasemanual",NA,NA,NA,7.80400427474197e-06,0.766995303617659
"avg_tokens","datainterview",NA,NA,NA,9.32806824410037e-05,0.766995303617659
"avg_tokens","dataL2-interview",NA,NA,NA,0.949578002366597,0.766995303617659
"avg_tokens_delta","s(minute)",1.64967768363317,1.87727427465538,4.35680329397977,0.0449647367066418,0.770439215035242
"avg_tokens_delta","s(transcriber)",8.33087572100859,9,13.482252283984,0,0.770439215035242
"avg_tokens_delta","(Intercept)",NA,NA,NA,0.522756900561696,0.770439215035242
"avg_tokens_delta","expertnovice",NA,NA,NA,0.916787636407673,0.770439215035242
"avg_tokens_delta","phasemanual",NA,NA,NA,4.71242879038147e-05,0.770439215035242
"avg_tokens_delta","datainterview",NA,NA,NA,1.99157472711336e-07,0.770439215035242
"avg_tokens_delta","dataL2-interview",NA,NA,NA,0.624060162917759,0.770439215035242
"avg_TU_duration","s(minute)",1.00002731854243,1.00005463633855,3.2328305965605,0.0779798070186337,0.712853973166759
"avg_TU_duration","s(transcriber)",8.32858478297145,9,13.2448067947677,0,0.712853973166759
"avg_TU_duration","(Intercept)",NA,NA,NA,4.74750467122099e-08,0.712853973166759
"avg_TU_duration","expertnovice",NA,NA,NA,0.663485543358834,0.712853973166759
"avg_TU_duration","phasemanual",NA,NA,NA,0.00425804945393518,0.712853973166759
"avg_TU_duration","datainterview",NA,NA,NA,0.000511101565055913,0.712853973166759
"avg_TU_duration","dataL2-interview",NA,NA,NA,0.225187734275618,0.712853973166759
"avg_TU_duration_delta","s(minute)",1.00007390464753,1.00014780383317,3.80784675526475,0.0564032443928862,0.598527084610447
