"x","predicted","std.error","conf.low","conf.high","group","predictor","dependent_var"
"free-conversation",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","data","n_tokens_delta"
"interview",-31.7948211302698,32.036403029959,-95.9726989535614,32.3830566930218,"1","data","n_tokens_delta"
"L2-interview",-25.2548747312931,25.762128902909,-76.8636261773477,26.3538767147615,"1","data","n_tokens_delta"
"1",233.02857868689,29.1450527913333,174.729783794942,291.327373578837,"1","minute","n_lingtoks_norm"
"2",357.756429911324,26.3074385210605,305.133709566557,410.379150256092,"1","minute","n_lingtoks_norm"
"3",482.483124141435,29.1450527913333,424.184329249488,540.781919033383,"1","minute","n_lingtoks_norm"
"expert",357.756429911324,26.3074385210605,305.133709566557,410.379150256092,"1","expert","n_lingtoks_norm"
"novice",331.449415462446,23.2435805224349,284.955324573894,377.943506350998,"1","expert","n_lingtoks_norm"
"asr-assisted",357.756429911324,26.3074385210605,305.133709566557,410.379150256092,"1","phase","n_lingtoks_norm"
"manual",335.21097536587,26.3074385210605,282.588255021102,387.833695710638,"1","phase","n_lingtoks_norm"
"free-conversation",357.756429911324,26.3074385210605,305.133709566557,410.379150256092,"1","data","n_lingtoks_norm"
"interview",192.756233602022,26.3074385210605,140.133513257255,245.37895394679,"1","data","n_lingtoks_norm"
"L2-interview",363.458129472382,22.3546084770188,318.742247712887,408.174011231877,"1","data","n_lingtoks_norm"
"1",-85.7755457496825,35.1827441521268,-156.267698622925,-15.2833928764399,"1","minute","n_lingtoks_delta"
"2",-104.408082269278,33.2994275708736,-171.126821682207,-37.6893428563493,"1","minute","n_lingtoks_delta"
"3",-123.04827302241,35.1827441521268,-193.540425895652,-52.5561201491672,"1","minute","n_lingtoks_delta"
"expert",-104.408082269278,33.2994275708736,-171.126821682207,-37.6893428563493,"1","expert","n_lingtoks_delta"
"novice",-65.2861781813193,36.869485415422,-139.157886170436,8.58552980779747,"1","expert","n_lingtoks_delta"
"asr-assisted",-104.408082269278,33.2994275708736,-171.126821682207,-37.6893428563493,"1","phase","n_lingtoks_delta"
"manual",-81.8626277238234,33.2994275708736,-148.581367136752,-15.1438883108947,"1","phase","n_lingtoks_delta"
"free-conversation",-104.408082269278,33.2994275708736,-171.126821682207,-37.6893428563493,"1","data","n_lingtoks_delta"
"interview",-21.1106391235304,33.2994275708736,-87.8293785364591,45.6081002893983,"1","data","n_lingtoks_delta"
"L2-interview",-17.2193701316483,26.6694619742893,-70.6543092145647,36.2155689512682,"1","data","n_lingtoks_delta"
"1",1.00712117173287,0.724567209119625,-0.445068020181536,2.45931036364728,"1","minute","n_NVB_norm"
"2",1.39363600562645,0.688739489492387,0.0132533025494679,2.77401870870343,"1","minute","n_NVB_norm"
"3",1.77984844446014,0.724567209119625,0.327659252545738,3.23203763637455,"1","minute","n_NVB_norm"
"expert",1.39363600562645,0.688739489492387,0.0132533025494679,2.77401870870343,"1","expert","n_NVB_norm"
"novice",1.78524843785381,0.796267326361151,0.189356723928157,3.38114015177946,"1","expert","n_NVB_norm"
"asr-assisted",1.39363600562645,0.688739489492387,0.0132533025494679,2.77401870870343,"1","phase","n_NVB_norm"
"manual",1.72696933895978,0.688739489492388,0.346586635882802,3.10735204203676,"1","phase","n_NVB_norm"
"free-conversation",1.39363600562645,0.688739489492387,0.0132533025494679,2.77401870870343,"1","data","n_NVB_norm"
"interview",0.338518621751792,0.688739489492388,-1.04186408132519,1.71890132482877,"1","data","n_NVB_norm"
"L2-interview",0.931984698205455,0.547610840943913,-0.165545709719226,2.02951510613014,"1","data","n_NVB_norm"
"1",-0.865337773835736,0.650779399256683,-2.16709049066369,0.436414942992215,"1","minute","n_NVB_delta"
"2",-0.660815379492313,0.587419977516042,-1.83583037308911,0.514199614104488,"1","minute","n_NVB_delta"
"3",-0.456246864744826,0.650779399256683,-1.75799958157278,0.845505852083125,"1","minute","n_NVB_delta"
"expert",-0.660815379492313,0.587419977516042,-1.83583037308911,0.514199614104488,"1","expert","n_NVB_delta"
"novice",-0.0029211569704539,0.518996758769215,-1.04106932442074,1.03522701047984,"1","expert","n_NVB_delta"
"asr-assisted",-0.660815379492313,0.587419977516042,-1.83583037308911,0.514199614104488,"1","phase","n_NVB_delta"
"manual",-0.994148712825647,0.587419977516042,-2.16916370642245,0.180866280771154,"1","phase","n_NVB_delta"
"free-conversation",-0.660815379492313,0.587419977516042,-1.83583037308911,0.514199614104488,"1","data","n_NVB_delta"
"interview",-1.04970528714547,0.587419977516042,-2.22472028074227,0.125309706451332,"1","data","n_NVB_delta"
"L2-interview",0.771925448653821,0.499162076969905,-0.226547444887735,1.77039834219538,"1","data","n_NVB_delta"
"1",6.70277127033059,0.495130641687042,5.70899227642317,7.69655026423801,"1","minute","avg_tokens"
"2",6.80914132925557,0.477014590028298,5.85172314616297,7.76655951234817,"1","minute","avg_tokens"
"3",6.91549854305786,0.495130641687042,5.92171954915044,7.90927753696528,"1","minute","avg_tokens"
"expert",6.80914132925557,0.477014590028298,5.85172314616297,7.76655951234817,"1","expert","avg_tokens"
"novice",7.04444177513297,1.06569064359791,4.90548917061877,9.18339437964717,"1","expert","avg_tokens"
