Transcript_ID	num_speakers	transcribed_minutes	num_total_tokens	num_linguistic_tokens	num_metaling_tokens	num_shortpauses	num_unknown	num_errors	num_overlaps	num_intonation_patterns	num_low_volume_spans	num_guessing_spans	num_fast_pace_spans	num_slow_pace_spans	num_prolongations	annotator	reviewer	transcription_type	expertise	accuracy	minutes_experience	sec30	sec60	sec90	sec120	sec_assignment	num_tu::0	num_tu::1	num_tu::2	num_tu::3	num_tu::4	num_tu::5	num_tu::6	num_tu::7	num_tu::8	num_tu::9	num_tu::10	tokens_per_minute::0	tokens_per_minute::1	tokens_per_minute::2	tokens_per_minute::3	tokens_per_minute::4	tokens_per_minute::5	tokens_per_minute::6	tokens_per_minute::7	tokens_per_minute::8	tokens_per_minute::9	tokens_per_minute::10	avg_duration_per_min::0	avg_duration_per_min::1	avg_duration_per_min::2	avg_duration_per_min::3	avg_duration_per_min::4	avg_duration_per_min::5	avg_duration_per_min::6	avg_duration_per_min::7	avg_duration_per_min::8	avg_duration_per_min::9	avg_duration_per_min::10	avg_tokens_per_min::0	avg_tokens_per_min::1	avg_tokens_per_min::2	avg_tokens_per_min::3	avg_tokens_per_min::4	avg_tokens_per_min::5	avg_tokens_per_min::6	avg_tokens_per_min::7	avg_tokens_per_min::8	avg_tokens_per_min::9	avg_tokens_per_min::10
02_PastiA_E	3	6.449366666666669	1383	1355	13	4	11	0	115	44	4	13	0	0	90	E	-	Whisper-Assisted	sì			113	257	360	465	1666	35	64	92	127	161	197	216	234	0	0	0	170	371	547	753	925	1109	1272	1383	0	0	0	1.364057142857143	1.5833749999999998	1.6188695652173914	1.6014330708661422	1.5824720496894416	1.5669695431472084	1.6521574074074077	1.6536837606837613	0.0	0.0	0.0	4.857142857142857	5.796875	5.945652173913044	5.929133858267717	5.745341614906832	5.629441624365482	5.888888888888889	5.910256410256411	0.0	0.0	0.0
01_StraParlaB_A	2	3.2652999999999994	618	601	1	16	0	0	92	7	5	10	0	3	54	A	-	From-Scratch	sì			74	110	153	195	-	26	65	106	114	0	0	0	0	0	0	0	167	390	572	618	0	0	0	0	0	0	0	1.879269230769231	1.8100615384615382	1.6752547169811318	1.7185789473684208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.423076923076923	6.0	5.39622641509434	5.421052631578948	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01_PastiA_O	6	4.167633333333333	880	862	7	3	6	2	48	23	2	32	0	1	27	O	-	From-Scratch	sì			90	180	254	304	-	36	67	93	125	156	160	0	0	0	0	0	166	359	535	712	867	880	0	0	0	0	0	1.3111111111111111	1.5158208955223884	1.6036559139784947	1.5907199999999992	1.5658974358974358	1.5628624999999998	0.0	0.0	0.0	0.0	0.0	4.611111111111111	5.358208955223881	5.752688172043011	5.696	5.5576923076923075	5.5	0.0	0.0	0.0	0.0	0.0
03_StraParlaA_man	2	5.3629500000000005	947	894	5	44	3	1	136	53	20	18	3	1	50	I	Eleonora	Revised	-	-	-	-	-	-	-	-	33	69	98	127	151	0	0	0	0	0	0	167	366	568	771	947	0	0	0	0	0	0	1.7603939393939392	1.8858260869565215	1.9918061224489796	2.062708661417323	2.130973509933775	0.0	0.0	0.0	0.0	0.0	0.0	5.0606060606060606	5.304347826086956	5.795918367346939	6.070866141732283	6.271523178807947	0.0	0.0	0.0	0.0	0.0	0.0
03_PastiB	3	3.7933666666666634	872	860	6	1	5	0	72	10	2	2	1	4	25	esterno	Eleonora	Revised	-	-	-	-	-	-	-	-	32	60	89	114	122	0	0	0	0	0	0	173	413	627	801	872	0	0	0	0	0	0	1.462125	1.756183333333333	1.7951460674157291	1.8543859649122794	1.8655901639344246	0.0	0.0	0.0	0.0	0.0	0.0	5.40625	6.883333333333334	7.044943820224719	7.026315789473684	7.147540983606557	0.0	0.0	0.0	0.0	0.0	0.0
02_StraParlaB_O	2	6.943166666666668	1204	1189	4	6	0	5	84	7	3	3	0	1	44	O	-	Whisper-Assisted	sì			120	220	396	406	592	22	50	80	102	123	135	155	0	0	0	0	178	359	528	707	879	1035	1204	0	0	0	0	2.6468181818181815	2.491599999999999	2.2869999999999986	2.4071568627450963	2.4435772357723566	2.661333333333333	2.687677419354839	0.0	0.0	0.0	0.0	8.090909090909092	7.18	6.6	6.931372549019608	7.146341463414634	7.666666666666667	7.767741935483871	0.0	0.0	0.0	0.0
03_PastiA	3	6.241116666666666	1419	1381	16	11	11	0	112	31	6	3	8	5	74	esterno	Eleonora	Revised	-	-	-	-	-	-	-	-	39	72	101	139	176	216	238	258	0	0	0	169	375	557	765	949	1154	1302	1419	0	0	0	1.157102564102564	1.3673472222222225	1.4479306930693074	1.430906474820144	1.4177954545454552	1.4028796296296302	1.4478067226890758	1.4514224806201548	0.0	0.0	0.0	4.333333333333333	5.208333333333333	5.514851485148514	5.503597122302159	5.392045454545454	5.342592592592593	5.470588235294118	5.5	0.0	0.0	0.0
03_StraParlaC_man	3	2.418683333333334	425	409	6	3	6	1	74	7	9	7	1	1	35	U	Eleonora	Revised	-	-	-	-	-	-	-	-	42	86	105	0	0	0	0	0	0	0	0	145	344	425	0	0	0	0	0	0	0	0	1.3453333333333335	1.3839418604651166	1.3821047619047622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4523809523809526	4.0	4.0476190476190474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01_StraParlaC_U	3	2.2673166666666664	383	370	5	0	8	0	60	7	6	7	1	1	32	U	-	From-Scratch	no			42	77	110	145	-	58	121	150	0	0	0	0	0	0	0	0	136	313	383	0	0	0	0	0	0	0	0	0.9253965517241379	0.9220743801652893	0.9069266666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3448275862068964	2.5867768595041323	2.5533333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01_ParlaBOA_E	2	7.915349999999996	1442	1420	12	1	8	1	108	6	0	5	0	0	150	E	-	From-Scratch	sì			117	268	378	503	-	23	48	67	86	106	127	150	169	176	0	0	161	342	508	664	837	1026	1217	1372	1442	0	0	2.456304347826087	2.3885625000000004	2.526641791044776	2.5983720930232557	2.620320754716981	2.6439763779527548	2.639299999999998	2.6659349112426023	2.6984147727272716	0.0	0.0	7.0	7.125	7.582089552238806	7.72093023255814	7.89622641509434	8.078740157480315	8.113333333333333	8.118343195266272	8.193181818181818	0.0	0.0
02_ParlaBOB_S	2	8.318783333333336	1332	1312	14	6	0	0	58	8	0	0	0	0	50	S	-	Whisper-Assisted	sì			180	300	410	491	747	14	27	42	53	64	71	85	94	95	0	0	147	305	455	574	754	924	1104	1274	1332	0	0	3.782428571428571	4.182259259259259	4.112809523809524	4.266433962264152	4.479531250000003	4.912774647887327	4.82238823529412	5.074436170212768	5.253968421052633	0.0	0.0	10.5	11.296296296296296	10.833333333333334	10.830188679245284	11.78125	13.014084507042254	12.988235294117647	13.553191489361701	14.021052631578947	0.0	0.0
02_PastiB_U	3	3.6652166666666672	799	782	6	0	11	0	54	6	2	10	0	0	14	U	-	Whisper-Assisted	no			82	147	236	265	1237	36	71	107	143	154	0	0	0	0	0	0	159	383	563	729	799	0	0	0	0	0	0	1.3191666666666666	1.485845070422535	1.4577383177570091	1.4233776223776227	1.4280064935064938	0.0	0.0	0.0	0.0	0.0	0.0	4.416666666666667	5.394366197183099	5.261682242990654	5.0979020979020975	5.188311688311688	0.0	0.0	0.0	0.0	0.0	0.0
02_StraParlaC_N	3	4.364	724	700	7	15	2	0	92	6	5	2	2	3	26	N	-	Revised	no			70	144	213	242	947	25	47	75	107	109	0	0	0	0	0	0	144	321	520	715	724	0	0	0	0	0	0	2.3476000000000004	2.5638723404255326	2.5421599999999995	2.4140186915887853	2.4022018348623853	0.0	0.0	0.0	0.0	0.0	0.0	5.76	6.829787234042553	6.933333333333334	6.682242990654205	6.6422018348623855	0.0	0.0	0.0	0.0	0.0	0.0
01_StraParlaC_S	3	3.480866666666667	524	514	3	6	0	1	74	9	4	3	2	1	32	S	-	From-Scratch	sì			49	110	155	197	-	23	42	59	61	0	0	0	0	0	0	0	143	343	501	524	0	0	0	0	0	0	0	2.447434782608696	3.13454761904762	3.2046779661016958	3.423803278688525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.217391304347826	8.166666666666666	8.491525423728813	8.59016393442623	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03_StraParlaB_man	2	3.282766666666666	610	592	2	16	0	0	98	7	5	6	0	3	55	A	Eleonora	Revised	-	-	-	-	-	-	-	-	26	67	107	115	0	0	0	0	0	0	0	165	384	566	610	0	0	0	0	0	0	0	1.879269230769231	1.765522388059701	1.6693925233644855	1.7127478260869562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.346153846153846	5.731343283582089	5.289719626168225	5.304347826086956	0.0	0.0	0.0	0.0	0.0	0.0	0.0
