161	SP2	da quel punto di vista: c'è an- ripeto molta gente: per strada anche	da quel punto di vista c è an ripeto molta gente per strada anche

162	SP1	mhmh	mhmh

163	SP2	m:h barboni banalmente	mh barboni banalmente
164	SP2	(o) persone che chiedono l'elemosina	o persone che chiedono l elemosina

165	SP1	esatto che:	esatto che

166	SP2	eh sì ho capito che è difficile trovare: [un modo per] ridurli però:	eh sì ho capito che è difficile trovare un modo per ridurli però

167	SP1	[x]	x

168	SP2	quello sicuramente: è una delle cose su cui si può lavorare a bologna	quello sicuramente è una delle cose su cui si può lavorare a bologna

169	SP1	e:h a livello di sicurezza ti senti sicura per esempio in città o:	eh a livello di sicurezza ti senti sicura per esempio in città o

170	SP2	m:h sì non non mi sono mai sentita mai proprio: m:h in pericolo diciamo	mh sì non non mi sono mai sentita mai proprio mh in pericolo diciamo

171	SP1	mhmh	mhmh

172	SP2	chiaro che se sei da solo e è una cert'ora: eviti magari qualche strada	chiaro che se sei da solo e è una cert ora eviti magari qualche strada
173	SP2	fai fai delle strade in cui c'è più: più gente: o:	fai fai delle strade in cui c è più più gente o
174	SP2	perchè ripeto: capita magari che incontri quello ubriaco; capita che incontri quello che m:h	perché ripeto capita magari che incontri quello ubriaco capita che incontri quello che mh

175	SP1	[esatto]	esatto

